Online Q: -0.012040950357913971 , fixed Q: 1.54541015625
Online Q: -0.007445742376148701 , fixed Q: 1.4798988103866577
Online Q: -0.008692187257111073 , fixed Q: 1.5339035987854004
Online Q: -0.006014814600348473 , fixed Q: 1.5248594284057617
Online Q: 0.010229939594864845 , fixed Q: 1.4379242658615112
Online Q: -0.012161459773778915 , fixed Q: 1.4979548454284668
Online Q: 0.012585710734128952 , fixed Q: 1.4660277366638184
Online Q: -0.012263249605894089 , fixed Q: 1.3958709239959717
Online Q: 0.007261081598699093 , fixed Q: 1.4127326011657715
Online Q: -0.005406039766967297 , fixed Q: 1.4589338302612305
Online Q: 0.0023726429790258408 , fixed Q: 1.5352238416671753
Online Q: -0.003832146991044283 , fixed Q: 1.3567575216293335
Online Q: -0.006830918602645397 , fixed Q: 1.4251726865768433
Online Q: -0.019092001020908356 , fixed Q: 1.4607540369033813
Online Q: -0.009979873895645142 , fixed Q: 1.4595556259155273
Online Q: -0.017613999545574188 , fixed Q: 1.4958034753799438
Online Q: -0.0032713774126023054 , fixed Q: 1.4252707958221436
Online Q: 0.0004251815262250602 , fixed Q: 1.4194447994232178
Online Q: -0.007536465302109718 , fixed Q: 1.478224277496338
start evaluate
------------------------------------------------------------
Num steps: 125000  return: -21.0
------------------------------------------------------------
Online Q: -0.009222515858709812 , fixed Q: 1.533158779144287
Online Q: -0.00039713940350338817 , fixed Q: 1.424405813217163
Online Q: -0.00592346116900444 , fixed Q: 1.5069226026535034
Online Q: -0.002675427123904228 , fixed Q: 1.379671573638916
Online Q: -0.004710488021373749 , fixed Q: 1.495859146118164
Online Q: -0.009982040151953697 , fixed Q: 1.412771463394165
Online Q: -0.010762665420770645 , fixed Q: 1.3661491870880127
Online Q: -0.005727720912545919 , fixed Q: 1.4904403686523438
Online Q: -0.019156742841005325 , fixed Q: 1.4907065629959106
Online Q: -0.007535860873758793 , fixed Q: 1.3998560905456543
Online Q: -0.0018428727053105831 , fixed Q: 1.5323848724365234
Online Q: -0.007918208837509155 , fixed Q: 1.436166763305664
Online Q: -0.0028820033185184 , fixed Q: 1.3444691896438599
Online Q: -0.008320190943777561 , fixed Q: 1.4945729970932007
Online Q: 0.000754662265535444 , fixed Q: 1.4974896907806396
Online Q: -0.00815809890627861 , fixed Q: 1.4256131649017334
Online Q: -0.00594757217913866 , fixed Q: 1.4692556858062744
Online Q: -0.004015237558633089 , fixed Q: 1.438906192779541
Online Q: -0.002771767321974039 , fixed Q: 1.3624827861785889
Online Q: -0.005314006004482508 , fixed Q: 1.4441382884979248
Online Q: -0.006904628127813339 , fixed Q: 1.4427803754806519
Online Q: -0.004367005079984665 , fixed Q: 1.5174033641815186
Online Q: -0.014944201335310936 , fixed Q: 1.5319629907608032
Online Q: -0.014261708594858646 , fixed Q: 1.5060551166534424
Online Q: -0.011829892173409462 , fixed Q: 1.2998363971710205
Online Q: -0.004283378832042217 , fixed Q: 1.4405980110168457
Online Q: 0.0010641452390700579 , fixed Q: 1.4929313659667969
Online Q: -0.0071094948798418045 , fixed Q: 1.3898329734802246
Online Q: -0.011543591506779194 , fixed Q: 1.4536226987838745
Online Q: -0.00956769846379757 , fixed Q: 1.5263447761535645
Online Q: 0.006859017536044121 , fixed Q: 1.5203895568847656
Online Q: 0.002607503905892372 , fixed Q: 1.4021267890930176
Online Q: -0.0042793769389390945 , fixed Q: 1.398366928100586
Online Q: 0.009593910537660122 , fixed Q: 1.486924171447754
Online Q: -0.010740824975073338 , fixed Q: 1.4832803010940552
Online Q: -0.006690634414553642 , fixed Q: 1.5175039768218994
Online Q: -0.008190840482711792 , fixed Q: 1.4654994010925293
Online Q: 0.0014420391526073217 , fixed Q: 1.5279055833816528
Online Q: -0.010154780000448227 , fixed Q: 1.624906063079834
Online Q: 0.0033579340670257807 , fixed Q: 1.513442039489746
Online Q: -0.001737562706694007 , fixed Q: 1.4244472980499268
Online Q: -0.0007435319712385535 , fixed Q: 1.4736924171447754
Online Q: -0.005539535544812679 , fixed Q: 1.4985636472702026
Online Q: -0.0006599463522434235 , fixed Q: 1.421642780303955
Online Q: -0.0019973479211330414 , fixed Q: 1.437269687652588
Online Q: 0.0025790431536734104 , fixed Q: 1.5086166858673096
Online Q: -0.007613158784806728 , fixed Q: 1.5205576419830322
Online Q: -0.009149567224085331 , fixed Q: 1.5190374851226807
Online Q: -0.005659092683345079 , fixed Q: 1.4565147161483765
Online Q: 0.0024738747160881758 , fixed Q: 1.4028983116149902
start evaluate
------------------------------------------------------------
Num steps: 130000  return: -21.0
------------------------------------------------------------
Online Q: -0.00454758433625102 , fixed Q: 1.518082857131958
Online Q: 0.0017867098795250058 , fixed Q: 1.4681079387664795
Online Q: 0.0029358796309679747 , fixed Q: 1.407270908355713
Online Q: 0.01334515679627657 , fixed Q: 1.4786423444747925
Online Q: 0.0036994963884353638 , fixed Q: 1.4043140411376953
Online Q: -0.0077971890568733215 , fixed Q: 1.5724949836730957
Online Q: 0.016130223870277405 , fixed Q: 1.3997066020965576
Online Q: 0.010472740978002548 , fixed Q: 1.6237871646881104
Online Q: -0.0005159206921234727 , fixed Q: 1.4452093839645386
Online Q: 0.01033024862408638 , fixed Q: 1.432628870010376
Online Q: 0.0038626352325081825 , fixed Q: 1.464575171470642
Online Q: 0.011051861569285393 , fixed Q: 1.5588372945785522
Online Q: 0.0039805034175515175 , fixed Q: 1.4568331241607666
Online Q: 0.01523016020655632 , fixed Q: 1.513981819152832
Online Q: -0.009356746450066566 , fixed Q: 1.3743129968643188
Online Q: 0.006451462395489216 , fixed Q: 1.4153668880462646
Online Q: -0.0033350426238030195 , fixed Q: 1.4644899368286133
Online Q: -0.006370507180690765 , fixed Q: 1.4520385265350342
Online Q: 0.006197714246809483 , fixed Q: 1.5056774616241455
Online Q: -0.006792674772441387 , fixed Q: 1.4481436014175415
Online Q: -0.00016258913092315197 , fixed Q: 1.4032915830612183
Online Q: 0.007492057979106903 , fixed Q: 1.4396988153457642
Online Q: 0.0015552325639873743 , fixed Q: 1.4210610389709473
Online Q: 0.00924986507743597 , fixed Q: 1.4700106382369995
Online Q: -0.002247750759124756 , fixed Q: 1.4796841144561768
Online Q: 0.013097604736685753 , fixed Q: 1.4929604530334473
Online Q: 0.012681148014962673 , fixed Q: 1.421868920326233
Online Q: -0.006720412522554398 , fixed Q: 1.3753445148468018
Online Q: 0.005808430258184671 , fixed Q: 1.590118169784546
Online Q: 0.0029566751327365637 , fixed Q: 1.459895372390747
Online Q: 0.014328804798424244 , fixed Q: 1.4960507154464722
Online Q: -0.004191535525023937 , fixed Q: 1.5192017555236816
Online Q: 0.009074550122022629 , fixed Q: 1.5076255798339844
Online Q: 0.003373471088707447 , fixed Q: 1.5012799501419067
Online Q: -0.002789136255159974 , fixed Q: 1.433287501335144
Online Q: 0.009797283448278904 , fixed Q: 1.3395450115203857
Online Q: 0.014587970450520515 , fixed Q: 1.5063279867172241
Online Q: 0.004283900838345289 , fixed Q: 1.4675207138061523
Online Q: 0.002614040393382311 , fixed Q: 1.358238697052002
Online Q: 0.0037443412002176046 , fixed Q: 1.486514687538147
Online Q: 0.00629820954054594 , fixed Q: 1.4832282066345215
Online Q: 0.010493626818060875 , fixed Q: 1.3717503547668457
Online Q: 0.011305190622806549 , fixed Q: 1.5173497200012207
Online Q: 0.0061109187081456184 , fixed Q: 1.524162769317627
